,cause,effect,word
236,the worst form of corruption is electoral corruption,democracy is about elections and when elections are improperly and violently done,because
237,the stranded passengers,the trip,making
238,with unrelenting vigour,pragmatic efforts,made
239,this,fall in love with the sport,make
240,"bringing here , year in , year out for the partille cup it",wo n't effectively help us in developing these players,because
241,players,"the duel tough for the ethiopians , who pulled the trigger first courtesy talisman unk kebede",made
242,"the opposition , the efcc",much noise in the media with invitation,made
243,i wonder if this is really a fight against corruption,there are lots of economic vampires around mr president against whom petitions are gathering dust at the efcc corporate headquarters,because
244,the price was on the increase,of high demand especially in south sudan and the dr congo,because
245,it 's,the industry is one in which it,because
246,it,eye-catching and unk,makes
247,we would also like to emphasize the importance of conflict prevention,in most cases,because
248,the stock has a 6-month relative strength of 80 which,it,means
249,the stock has a 6-month relative strength of 83 which,it,means
250,the stock has a 6-month relative strength of 94 which,it,means
251,which,it,means
252,feel the effects of climate change according,"to her excessive rainfall , draught , erosion from raising seas , flood and danger to animals",because
253,"mrs. unk unk , secretary of the board","the call in gombe , telling christians",made
254,the sources spoke on condition of anonymity,they were n't authorized to publicly describe the conversation,because
255,the visa lottery and restricting the relatives that legal immigrants,to the u.s,bring
256,royal djs,we feel are part part of the royalty in music,because
257,family,of the way they carry themselves,because
258,the 4th edition,together 11 groups,bring
259,i,in terms of unk,made
260,the centre to benefit from the donation,everyone was entitled,because
261,the islamic state,inroads in the country though is not considered a major threat,made
262,force,significant headway in fighting the taliban,made
263,a duty to condemn such act of barbarism,it,because
264,our,data would have captured everything,because
265,this man haruna shasha was sympathetic to our clamour for creation of ekiti state,i was his family doctor,because
266,the seizure,following reasonable suspicion on the consignment,made
267,gates 's strategy has met resistance among the joint chiefs of staff,its focus on irregular warfare,because
268,the service chiefs have worried publicly about shunning preparation for conventional warfare,"it could give adversaries a competitive advantage in key arenas , such as in the skies or in space",because
269,the birds would have been useless as farm birds,they had been in transit for too long,because
270,the ready availability of foreign exchange and fuel,from continuation of the flexible exchange rate regime and automatic fuel price adjustment mechanism will also support economic activity,resulting
271,they,the route with marks,left
272,deals,earlier have failed to end militancy in the region,made
273,gates arrives in kabul and a strike,on the so-called militant,made
274,your,you are allocated a government high school,results
275,most people it,through to high school attend boarding school,make
276,not a lot - maybe $ 1 a term,then they will start valuing their education,because
277,he,to do so,reason
278,the budget it,affords us proper planning,because
279,he had eagerly joined the taliban this year,he was intrigued by what he called their ideology,because
280,the president in february 2015 after,a personal note advising him not to run for a third presidential term,sent
281,they,no secret of their dislike for the arusha peace agreement,made
282,the european union and the african union,their representatives to facilitate the resumption of dialogue between the opposition and the government,send
283,the signs of violent radicalization,the consequences can be devastating,because
284,away,with their tricycles which they sold somewhere in anambra state,make
285,hate unk,i land my hard hooks well without protection,because
286,yemeni regime,the displeasure of its allies,caused
287,the legislative elections originally scheduled for april 2009 were postponed,political and institutional problems,because
288,focusing scant resources attacking roads south and east of kabul,maximum psychological,caused
289,new personnel,in,sent
290,need to address such issues,small businesses are the largest number of business entities in the country,because
291,bigger cocoa and food harvests,new challenges,bring
292,approval to take nigerians on pilgrimage,"the commission regulates , coordinate activities of nigeria christians going to israel for pilgrimage",because
293,police believed the man was from the philippines,of his appearance the associated press,because
294,every 100 calls you,on warid,make
295,the ucc report issued in march 2011,a mid-december 2010 survey,result
296,challenge,casey leonard,makes
297,"the disruption of the cpc rally , which occurred midway","a stampede as the armed thugs threw bottles , stones and other missiles",caused
298,the supporters of the cpc that launched a counter-attack,the situation under control,brought
299,they,tanzanians look fools who can not think,making
300,some of our colleagues it,"out , but six remained trapped underground , '' survivor chacha unk told state television",made
301,the world would have been numbed by man 's bestiality and inhumanity to man,adolf hitler 's atrocity during the world war ii pale into insignificance,makes
302,the significant contribution that australians of african origin,the development of australian society,making
303,obasanjo,a very brief appearance,made
304,delhi daredevils,the early buys getting two tearaway fast bowlers and two all-rounders,made
305,he,the remarks on saturday,made
306,lasoski says many iraq war veterans being seen at the local va struggle with driving,many were national guardsmen who served in convoys in iraq,because
307,"the future king , 30 , is barred from serving in a warzone","it is considered too dangerous given his future role and , says harry",because
308,up,for it now by beating his army colleagues at computer games,making
309,"8,300 of those , less than one-half of one percent",of section 654,result
310,"for example , both the navy and air force","significant manpower reductions during the last 10 years , totaling some 77,000 personnel",made
311,them,at 4:30,see
312,the terms of reference,public,made
313,snyder : one of the service secretaries,a comment,made
314,you,that we hear you,make
315,you,sure,make
316,readiness issues,i consider what -- the situation described a readiness issue,because
317,were going to go at it from a different way,i was actually thinking that some of what our assessment would be,because
318,the second one is the point,more than once today that recruiting is good,made
319,it,happen somehow,make
320,we,have a nondiscrimination policy all take the same oath,because
321,him,on trial,put
322,down,of my headscarf,because
323,you,you go through a reputable exchange,make
324,mourinho,the club,left
325,other pre-islamic artifacts,hardline clerics said they,because
326,three provinces,together,put
327,return fire,the gunmen used women and children as human shields,because
328,it,"big , they should be real in their productions",make
329,in most high-income countries,of awareness campaigns,because
330,the virus,aids,causes
331,he turned 18 - he was out of action for his first few weeks of duty,of a shoulder injury,because
332,cheques,"payable to craig wood c/o po box 17 , 19 st sepulchre gate , doncaster , south yorkshire , unk unk",made
333,strong insurance companies,we are members of the financial industry and if the financial sector is going to assist the economy,because
334,"the budgetary provisions , policemen , who spoke on condition of anonymity",they are not allowed to speak to the press,because
335,it,of the police easy,made
336,superior officers pocket what,for their junior officers,meant
337,this is an infringement on the rights of the policemen,it,because
338,life insurance companies can not provide competitive cost effective coverage,of the size of the economy,because
339,nearly 150 strawberry farmers in unk gave up growing them in the last five years,"they lacked access to credit , according to information from the section",because
340,this month renamo,their unk,made
341,"on the other hand , afghan taliban",inroads,made
342,he,"a presidential and government vacuum , in coordination with some foreign countries",cause
343,enough,money to buy unk until i got bloated,made
344,it,to university,make
345,i,"the 100 , 200 and 400 meters , while the jumps refer to the long , triple and high jumps",mean
346,which,"a week of unk cooperation together 150 delegates from 19 african nations and the african union , including heads of state and foreign ministers",brought
347,which,a business forum together business communities from either sides is also being planned,bring
348,it,difficult to fund a protracted all-out war,make
349,high fertiliser prices,in lower yields,result
350,the un was particularly impressed with the nigeria police contingent,"their expertise have been brought to bear in the areas of investigation , administration",because
351,you,changes you must understand the system,make
352,"commitment , coordination and adequate resources",a big difference in the lives of adolescent girls,make
353,what,prince mohammed happy,make
354,the pull-out and the un left behind equipment,the speed of their departure,because
355,prohibit any military cooperation,of the fighting between,because
356,the polio eradication is not going well in nigerian,the northern part of the unk the disease has been identified have fused to accept the vaccine,because
357,by the foreign,about,brought
358,independent candidates are already challenging the election,in the unk area,results
359,it,almost impossible for opposition groups,making
360,which me,i have reached a maturity level,makes
361,it,good enough for us to stay,make
362,why,so much money but are still wallowing in poverty,made
363,i,"my community , state and the nation for a period of 35 years",rendering
364,i,in much,put
365,donnelly of chatham house said criminal groups may be engaging in kidnappings in the region a,market for trading hostages had developed,because
366,the programme,the sound bilateral relations between nigeria and the gambia,result
367,withdraw from the delayed runoff round in the presidential race,of alleged vote-rigging,because
368,everyday,it passes we become closer,because
369,"the president , some progresses","from the efforts of various countries , aiming to contribute to a healthy atmosphere in the sociability with the nations",resulting
370,which,mugabe s presence less embarrassing,make
371,it,you think,make
372,you,a lot of news,made
373,the spending,uncertainty,causing
374,the spending is causing uncertainty,job creators to sit on their hands,causing
375,it,you think,make
376,we need to talk about medicare,the trustees report came out this week,because
377,this,affordable not only for seniors but for our kids and grandkids who are going to have to pay the bill,make
378,changes,to those plans or they won ` t exist,make
379,but our goal in afghanistan,"sure that we ` re not ceding ground to the taliban , al qaeda and others",make
380,here,he has pneumonia,because
381,trying,you cry,make
382,they spoke on condition of anonymity,they were not authorized to brief reporters,because
383,jones threat,worldwide alarm and raised tensions over the 9/11 anniversary,caused
384,moment,armed men are roaming around the camps,because
385,"to 9.7 % of gdp in 2009 , mainly",a narrowing of the services and income deficits,because
386,by poor storage of munitions,sofala province,caused
387,the world itself,part of our healing,made
388,my,sleep less troubled,make
389,goods are currently transshipped at nakuru,the track can not support main-line wagons,because
390,the visitors were awarded the penalty deep into injury time when striker daud unk,down in the box by defender joseph owino,brought
391,seeking a win to upset simba,a bright start and ought,made
392,danjuma,"this call through a member of the committee from gombe state , mallam aliyu kamara",made
393,the end of the year amounted to unk billion compared to unk million in 2015 which amounted,at,result
394,southern sudanese are voting on independence,2005 peace accord that ended two decades of north-south civil war,result
395,most of the people ( inaudible ) to seek sanctuary in these villages that are along the unk border,everybody,because
396,how much of that might it,here to the united states,made
397,how much of that radiation,its way across the pacific,made
398,"there 's a lot of proof coming in , largely",of the internet,because
399,lost the election in 1992,people thought the economy was heading south,because
400,it,clear he 's not happy,made
401,they,such dramatic cuts in an election year,make
402,civil liberties,young people vulnerable to the recruitment incentives of extremist movements,makes
403,elliot unk said the peaceful marches for true federalism had become pertinent,nigeria was over heated due principally to the unitary system of administration,because
404,the $ 4.2 billion rover natural gas line,"seven industrial spills , polluted fragile ohio wetlands and angered local farmers",caused
405,unk - `` the big sick,"arranged marriages , muslim families and a coma perfect rom-com material",makes
406,they,life or death,mean
407,all government officials spoke on condition of anonymity,they were not authorized to speak to journalists,because
408,a brand new car is the only option for the rich,reconditioned vehicles can be unreliable and mainly not manufactured for the tropics,because
409,it,closer to its target of 100 million lives by 2018,bringing
410,"army gen. david h. petraeus , commander of coalition forces in afghanistan up about",a third of the personnel in the ministries in 2011,make
411,institutional ability,a holistic consideration of which technology,make
412,in general flock into the unk,businessmen and the public,make
413,the fire appeared to come `` from a ruptured pipe,it,because
414,older persons are being left helpless and without support,of the death of their off springs caused by hiv/aids,result
415,in hiv/aids prevention and control programmes,of which they are not benefiting from such programmes,result
416,this,power shift a reality,make
417,which,recommendations to the government,made
418,you,a copy of his resignation or the directive,sent
419,owners of buildings so close to the pipeline,it unk line and it can cause death any day,because
420,the airlines claimed they had naira but could not pay premiums,of foreign exchange constraints,because
421,it,the trip to unk without incident,made
422,they are against mr. blah leading the transitional government,of his close ties,because
423,"the nation 's institutional life , and it had not met for a year",it had been unable to form a quorum,because
424,egypt : second day of the africa 2017 forum together,political and business leaders from across the continent,bringing
425,more than 2 million people have died,fighting and war-related famine,result
426,the content of the tanker was also leaking,cordon off the roads leading to the location of the unk,made
427,in 2000,in an american consultant,brought
428,its paradoxical policies,in making the region more insecure,resulted
429,by coach unk nyirenda,the challenges being faced by the national team,caused
430,the solution to the unk row was long term,clubs did not also want to comprise the competitiveness of the league,because
431,the expenditure of over unk trillion secured as loans or bonds,2016,since
432,he,"ondo the reference point in progressive governance and quality leadership , and has been recognized by , among others",made
433,the state,of these unlawful transactions,result
434,stop,you are stuck,because
435,close to the border with saudi arabia,a massive new wave of displacement,caused
436,virtually none of the women here receive antenatal care,this service is non-existent or ineffective outside of abs town,because
437,a message on the website says : `` attempts,reach family members,made
438,a few minutes after resumption,khalsa several raids at tpdf,made
439,the minister,"the remarks recently at makerere university , while launching josephine unk 's book",made
440,the taliban,meaningful concessions extend the current administration 's tenure,make
441,the imbroglio over the timing of the vote,concerns over security and fraud,because
442,he,a quick trip to pakistan,made
443,"even before the troop cuts , aides to ghani expressed concerns that u.s. officials",many concessions to the insurgents,make
444,hassan said tuesday 's ceremony,to disburse unk,meant
445,"the all farmers association of nigeria ( afan ) , adding that the event was postponed",of the bomb explosion that took place on unk tashan unk in gombe metropolis which claimed many lives,because
446,but scarcity of places,this a faint probability,makes
447,the king 's public health strategy,the country had no physical distancing measures,because
448,will continue to be slaves,"of greed , selfishness , lack of discipline and ignorance",because
449,united states,a proclamation about the arrest of besigye,made
450,me,more angry,made
451,our people refused the installation of nwachukwu as the prime minister,the position is hereditary and not rotatory,because
452,longer a developing nation,it,because
453,it,a contingent to somalia to help the united nations,send
454,able to do little to guard the border,of refugees massing in the area,because
455,it,"the epicentre of a famine that has killed an estimated 300,000 people so far",making
456,by the jan. 12 earthquake,he was struck by the devastation,caused
457,on leaving unk the following morning,one peg standing,left
458,"many afghan women , who are often knocked down by cars",they can not see,because
459,they were cheered by civilians,on white headbands in a sign of support,put
460,the centre of zaire 's cobalt and copper industries and of secessionist movements,the 1960s,since
461,a special case,for ebonyi,made
462,the deadly rivalry between senator unk and former governor of the state dr. sam unk,the party,made
463,high time for pakistan and afghanistan,joint efforts to counter terrorism and radicalism,make
464,he had challenged his deportation before constitutional court judge james unk deals,in these clubs hallways,made
465,we,nobody harms unk igbo without justification without coming out to fight,make
466,the gas price in east european countries bordering on ukraine minus the cost of transit,neftegaz back,bring
467,the audit report,to rx africa,sent
468,the 2009 audit report,to new york,sent
469,the initiative,possible,make
470,he,back to kenya,sent
471,they,aboard egyptian and ethiopian airlines,left
472,i,changes in the prison services to end all the crimes associated with inmates because many kenyans have been duped into conning games which are traced,make
473,i want to make drastic changes in the prison services to end all the crimes associated with inmates,many kenyans have been duped into conning games which are traced,because
474,"this violence , street violence which",before whom we bow bears the name of a camp,made
475,the dramatic compromises made by both sides -,implement ing the agreement extremely unk cult,make
476,"in the early hours , nan chang hai ( unk ) - a chinese-owned bulk carrier -","falmouth bay for st petersburg , russia",left
477,ruby,"to continue her voyage from cotonou , benin",left
478,today the silent majority constitute young people,of the weight of apathy and ignorance,because
479,building,we are the most affected group of people,because
480,spoke on condition of anonymity,of their sensitivity,because
481,several issues,"dissension , especially between egypt",cause
482,the operations,civilian casualties,caused
483,he,"a unk , continues",making
484,by,they 're trapped in a stormy climate,caused
485,these currencies,it was importing far more than exporting and has become a cashless society,because
486,the uk 's first national youth mentoring summit,together young people,bring
487,norwich : man,a danger to road users,causing
488,the election,will be announced in sunderland on friday,result
489,the election,is expected in late morning,result
490,it,a country with the largest number of idps globally by june 2018,making
491,the committee had before visiting unk headquarters,at the nigerian communications commission ( ncc ) in unk,made
492,the afghan military flew rescue teams to the area yesterday,the remote mountainous region,because
493,seasonal rains and spring snow melt,"heavy destruction in large tracts of northern afghanistan , killing more than 100 people",caused
494,will be voted the goal of the tournament,everybody,because
495,the essence of the directive,into the alleged incident,made
496,spooner 's daughter,she obtained citizenship as a minor,because
497,partners their money,to benefit them,brought
498,money,in the pockets of the youth in those communities,put
499,the rural areas,the job more challenging,makes
500,we,some improvement in our resolve to have a credible election,making
501,i,my,make
502,i,a statement about it,make
503,technology,to the region 's,bring
504,the shilling,any major moves,see
505,this consultation,to please the world bank or any other financier,meant
506,some schools,those pupils who had arrived for classes home early,sent
507,the delivery of key national infrastructure,which unattended over the past years,left
508,results on time while its chief finance officer,the company last month,left
509,afghanistan,negotiators to qatar without preconditions,send
510,he,as much as unk,make
511,he is still plying the trade,he did n't want the trade to die a natural death,because
512,the nation s resources under the last administration,to justice,brought
513,the opposition party,the unsubstantiated claims to confuse nigerians and distract government from prosecuting its members accused of corruption,making
514,haitian officials say the plan,a difference in helping the country,make
515,you,about are going to be sustained,bring
516,we,fans proud and happy,make
517,the feud between unk and crop farmers part,of the daunting challenges the community experiences,make
518,now armed with a baccalaureate and a diploma in welding he,his cv to the mining companies,sent
519,unk,the denial,made
520,this access,to finance,make
521,available to our own development institutions so that they can give out loans because access to finance has been difficult,funds,make
522,can give out loans access,to finance has been difficult for the smes,because
523,during the briefing,in the administrative center of nawa as an example of success in the task force south region,made
524,the taliban did n't really have good control of nawa,the population there really kind of rejects their presence,because
525,the proposed increase in royalties,the country in line with rates found in other jurisdictions in the region,bring
526,a senior tory source confirmed that general dannatt,peer shortly and would advise the tory defence team,made
527,the people of imo state who elected unk and his personal integrity which,him,made
528,available arsenals and structure of the ruling party,the victory of unk a forgone conclusion,make
